piso,degra,plot,CobTot,CobArbo,CobArbu,CobHerb,AltArbo,AltArbu,AltHerb,FitoTot,FitoArbo,FitoArbu,FitoHerb,CobHoj,ProfHoj,MasaHoj,Riqueza,Diversidad,CSII_norm,Arena,Limo,Arcilla,DA,DA_FF,Porosidad,Pedregosidad,C_tot,N_tot,CN,HumApr,CC,PMP,R10,Infiltr,ProdTot,ProdArbo,ProdArbu,ProdHerb
AndInf,3,1,15,0,0,13,0,0,"0,0737","0,00136",0,0,"0,00136",3,"0,175","32,08",5,"0,497947057079725","0,046613310477426","71,45","15,42","13,13","1,5061","0,9273394155","43,17","0,5803720655","0,5703816","0,05288965","10,946359572","7,22440600663456","14,787546702839","7,56314069620449","0,066482893025685","0,013526559687076","31,6479591836735",0,"22,4979591836735","9,15"
AndInf,3,2,8,0,7,0,0,"0,269",0,"0,01645",0,"0,01645",0,4,"0,175","78,83",2,"0,420321899411806",0,"72,28","14,78","12,945","1,341","0,780970141","49,395","0,6166093345","0,98781395","0,0769916","12,77989739","7,76941110594262","16,0995458680548","8,33013476211222","0,040135998947412","0,005126396034558","68,9916326530612",0,"43,2816326530612","25,71"
AndInf,3,3,29,0,12,23,0,"0,130833333333333","0,133333333333333","0,0073",0,"0,0063","0,001","13,5","0,15","68,05",7,"0,773931803401305","0,046613310477426","72,385","17,8","9,82","1,64785","1,1624240465","37,815","0,5376892415","1,17486365","0,08172245","12,9986192325","7,23158012235504","14,9838237400251","7,75224361767011","0,064125430218315","0,012688611666072","27,0279591836735",0,"25,6979591836735","1,25"
AndSup,1,1,61,0,49,"40,2",0,"0,07930612245","0,01","0,0527225",0,"0,03886","0,0138625",6,"0,775","10,785",4,"1,46253465569517","1,1436883416919","79,00816851","14,47435235","6,51747914","1,21435","0,729577415992798","54,1754716981132","51,355745017071","3,43398952484131","0,303589850664139","11,32214619","7,44668177804396","15,7444962922171","8,29781451417317","0,4375155895","0,0098966865","163,554964489796",0,"115,461224489796","48,09374"
AndSup,1,2,41,0,26,18,0,"0,1403846154","0,02","0,04291875",0,"0,0365","0,00641875",15,"0,6","26,7575",4,"1,2947046692437","1,10677564244623","82,13997278","11,36389378","6,49613344000001","1,323225","0,784891529811631","50,0669811320755","57,8348101492673","3,32315921783447","0,286990910768509","11,37538001","7,78841699450831","14,375829731571","6,58741273706272","0,2165541655","9,096945E-05","66,2239855102041",0,"42,9387755102041","23,28521"
AndSup,1,3,49,0,37,"30,5",0,"0,1443243243","0,03","0,0607375",0,"0,0534","0,0073375","5,25","0,775","18,255",5,"1,57462158435963","0,749536015861866","82,097580985","10,883882865","7,01853615000001","1,267425","0,743762599009632","52,172641509434","57,0887536038738","2,57003557682037","0,220886960625648","11,63220075","7,49978703270961","14,2493519653443","6,74956493263473","0,4128674355","0,0002416325","103,979873061224",0,"77,6326530612245","26,34722"
AndSup,2,1,40,0,17,"17,8",0,"0,06117647059","0,01","0,01728125",0,"0,0104","0,00688125","4,25","0,8","15,43",3,"1,01104697680193","0,619444880328367","59,59332158","15,9055413625","24,5011370575","1,102","0,667447214536999","58,4150943396226","52,1184138274442","1,08618837594986","0,106877900660038","10,17268218","7,70145964724359","16,6380078309908","8,93654818374721","0,1622358355","0,001879464","55,4225483673469",0,"30,5959183673469","24,82663"
AndSup,2,2,43,0,21,"28,8",0,"0,0519047619","0,02","0,01886875",0,"0,0109","0,00796875",10,"0,575","9,69",5,"1,29224386688838","0,367285177333738","70,63430231","13,217567745","16,148129945","0,980425","0,756977262903348","63,0028301886792","31,9908547664982","2,26297807693481","0,199815779924393","11,171120805","7,2814650604554","16,4373283386526","9,15586327819724","0,4467655355","0,0023562045","50,7041112244898",0,"22,2530612244898","28,45105"
AndSup,2,3,30,0,15,15,0,"0,1033333333","0,03","0,017625",0,"0,0155","0,002125","9,25","0,575","20,4975",3,"0,927934358355616","0,6489418260501","63,00846779","22,651664615","14,339867595","1,07925","0,753730109254546","59,2735849056604","42,0352607891809","2,86200308799744","0,182606972754002","15,6797195","10,1962300974683","18,3440476105299","8,14781751306165","0,2076759145","0,0027402305","28,1176408163265",0,"21,5020408163265","6,6156"
AndSup,3,1,14,0,0,10,0,0,"0,01","0,0015625",0,0,"0,0015625",4,"0,8","9,93",2,"0,568398388903361","0,12405466238226","60,0845142","20,02766215","19,88782365","1,0201","0,701812691240131","61,5056603773585","42,3700045382198","1,63021093606949","0,144940510392189","11,25131816","7,09058868791808","21,3332144465585","14,2426257586404","0,3515791635","0,0018478945","7,1003",0,0,"7,1003"
AndSup,3,2,26,0,0,"1,5",0,0,"0,02","0,0001875",0,0,"0,0001875",9,"0,175","25,86",2,"0,658577388660141","0,162195469344183","67,153146555","16,474959835","16,37189361","1,1812","0,803556414585306","55,4264150943396","44,2566910537177","1,66048532724381","0,143845394253731","11,42545301","6,09140143189512","18,7341262198883","12,6427247879932","0,7195547225","0,0037225745","3,18",0,0,"3,18"
AndSup,3,3,15,0,0,"3,3",0,0,"0,03","0,00025625",0,0,"0,00025625","3,5","1,525","13,53",2,"0,495521265107867","0,102972655431209","68,43206361","16,07891247","15,48902392","1,260275","0,89442830016868","52,4424528301887","43,0033905434513","0,967458933591843","0,079197928309441","12,242767915","7,72080315193781","18,0454680398854","10,3246648879476","0,3162944375","0,000279942","1,12",0,0,"1,12"
